head,date,text,イベント,景気,物価,金利,マネーサプライ,貿易収支,雇用,個人消費,介入,要人発言,他通貨,石油,政治,株,債権
ユーロ圏経済指標【ユーロ圏業況判断指数】,2009年1月8日（木）19:01:00,"＊ユーロ圏業況判断指数（12月）19:00
結果　-3.17
予想　-2.70　前回　-2.10（-2.14から修正）",,,,,,,,,,,,,,,
ユーロ圏経済指標【ユーロ圏失業率】,2009年1月8日（木）19:01:00,"＊ユーロ圏失業率（11月）19:00
結果　7.8%
予想　7.8%　前回　7.7%",,,,,,,,,,,,,,,
ユーロ圏経済指標【ユーロ圏消費者信頼感】,2009年1月8日（木）19:01:00,"＊ユーロ圏消費者信頼感（12月）19:00
結果　-30
予想　-26　前回　-25",,,,,,,,,,,,,,,
ユーロ圏経済指標【ユーロ圏GDP】,2009年1月8日（木）19:01:00,"＊ユーロ圏GDP・確報値（第3四半期）19:00
結果　-0.2%
予想　-0.2%　前回　-0.2%（前期比）
結果　0.6%
予想　0.6%　前回　0.6%（前年比）",,,,,,,,,,,,,,,
ロンドン市場　弱いユーロ圏経済指標にユーロ売りの反応,2009年1月8日（木）19:13:00,"東京時間19時に発表されたユーロ圏経済指標は弱い結果が相次いだ。
12月消費者信頼感はマイナス30と前回および予想より悪化した。12月業況判断指数もマイナス3.17と統計開始以来の最低水準を記録した。また、11月の失業率も7.8％と10月から0.1％の悪化だった。尚、第3四半期GDP確報値は速報値と同水準だった。

ユーロドルは発表直後に1.3580レベルから1.3560レベルへと売られた。ユーロ円も124.80レベルから124.60レベルへと軟化した。

EUR/USD　1.3571　EUR/JPY　124.70　EUR/GBP　0.9020",,,,,,,,,,,,,,,
ロンドン市場　円相場、株価動向に連動して円高に,2009年1月8日（木）19:33:00,"欧州株、米株価指数先物が再び下値を試す動きになっている。英FT指数は60ポイント安、ダウ平均先物は55ポイント安とロンドン序盤の安値を更新している。

ドル円は92円近辺が重く、91.70レベルに反落、ポンド円も再び138円割れ、ユーロ円は124円台前半へと軟化している。

USD/JPY　91.69　EUR/JPY　124.38　GBP/JPY　137.80",,,,,,,,,,,,,,,
アジア株　全面安、金融・ハイテク・石油に売り強まる,2009年1月8日（木）19:54:00,"東京時間19:49現在
香港ハンセン指数　　 14415.91（-571.55　-3.81%）
中国上海総合指数　 1878.18（-45.83　-2.38%）
台湾加権指数　　　　 4535.79（-254.05　-5.30%）
韓国総合株価指数　 1205.70（-22.47　-1.83%）
豪ASX200指数　　　 3694.30（-85.40　-2.26%）
インドSENSEX30種　 9586.88（休場）
シンガポールST指数　 1827.61（-52.97　-2.82%）

中国市場は上海総合指数が2.3%安。下げて始まり、底を這う動きが続いた。セクター別では金融株と石油株が下げを主導した。金融株は中国の大手銀行の大株主が持ち株売却を嫌気された。バンク・オブ・アメリカは中国建設銀行の株式を、資産家の李氏は中国銀行株を売却した。英RBSによる中国銀行株売却の観測もあった。これらを契機に銀行セクター全体に売りが波及した。石油株はきのうの原油相場が大幅安となったことで売りが膨らんだ。個別では中国パソコン大手レノボは20%超の急落が目立った。同社は8日、08年10-12月期に「大きな損失」がある見込みを発表。金融危機を背景とした需要減が理由。きのう米インテルが見通し下方修正したこともハイテク関連の上値を重くしている。一方、気になるところでは、上海ディズニーランドが2013年にも開業する可能性が報じられ、上海の不動産株には買いが集まった。

香港市場はハンセン指数が3.8%安で取引を終えた。午前から下げ幅を拡大させる動きとなった。きのうの米株の大幅安やこの日の本土中国株の大幅続落が相場を下押した。銀行株の売却観測を背景に銀行セクターが大幅続落となった。

大手ITサティヤム・コンピュータ・サービスの巨額粉飾決算で揺れているインド市場は休日で休場。9日に取引再開予定となっている。",,,,,,,,,,,,,,,
南アフリカ経済指標【製造業生産高】,2009年1月8日（木）20:01:00,"＊製造業生産高（11月）20:00
結果　-3.0%
予想　N/A　前回　-0.3%（前月比・季調済）",,,,,,,,,,,,,,,
ユーロ圏経済指標【ドイツ製造業受注】,2009年1月8日（木）20:01:00,"＊ドイツ製造業受注（11月）20:00
結果　-6.0%
予想　-1.9%　前回　-6.3%（-6.1%から修正）（前月比）
結果　-27.2%
予想　-20.1%　前回　-17.5%（-17.3%から修正）（前年比）",,,,,,,,,,,,,,,
（再送）南アフリカ経済指標【製造業生産高】 ,2009年1月8日（木）20:05:00,"※前回値が下方修正されました。

＊製造業生産高（11月）20:00
結果　-3.0%
予想　N/A　前回　-0.4%（-0.3%から修正）（前月比・季調済）",,,,,,,,,,,,,,,
まもなく英政策金利の発表,2009年1月8日（木）20:16:00,"東京時間21時に英中銀政策金利が発表される。予想および現行水準は以下のとおり。

＊英中銀政策金利　21:00
予想　1.50%　現行　2.00%

市場では景気悪化で利下げは不可避との見方が強い。専門家の間では0.50%や1.00%の利下げを見込む声が支配的だ。一方、ごく一部で政策金利が据え置かれるとの見方もある。英紙サンデータイムズが主催する「影のMPC」では、政策金利を2.00%で据え置くべきとの主張も出ていた。市場では大幅利下げと据え置き、どちらの結果にも強い反応がみられそうだ。

発表を控えたロンドン市場では、ユーロポンドは0.8980から0.9070のレンジで推移している。昨年末に0.98台と、パリティー目前まで大きく買われた後、新年相場では反転して0.90割れへと大幅に調整された。現在の水準は調整後の安値水準に張り付いている状況。英中銀政策金利が次の大相場のきっかけとなるか、注目される。",,,,,,,,,,,,,,,
ロンドン市場　カナダ売り継続　加Iveyへの警戒感も,2009年1月8日（木）20:42:00,"本日は東京タイムから対円を除き、カナダ安がゆっくりと進行。ユーロカナダは1.62台前半から1.63台後半まで、ドルカナダは1.19台前半から1.20台後半までじり高となった。

米株安と原油高となっている本日の状況下ではカナダ相場との連動は確認できない。この後9日0:00に発表されるIvey購買部協会指数を控え警戒感が強いようだ。カナダ経済と密接に関連する米国の12月ISM製造業景気指数は28年ぶりの低水準まで落ち込んでおり、カナダIvey購買部協会指数についても弱い内容が予想されている。

ただ、東京時間22:30に米新規失業保険申請件数の発表も控えており、Iveyの発表前にドルカナダを中心に動きがあるかもしれない。

EUR/CAD 1.6333　USD/CAD 1.2028",,,,,,,,,,,,,,,
ロンドン市場　ブイター氏は1％利下げを示唆,2009年1月8日（木）20:56:00,"英中銀金融政策委員会の元メンバーでLSE教授のウィレム・ブイター氏は今回の利下げ幅について、自分だったら1％引き下げるだろう、との見方を表明していた。ただ、ユーロポンドは0.9000レベルへとやや上値の重い値動きとなっている。まもなく英政策金利が発表される。

EUR/GBP　0.9001",,,,,,,,,,,,,,,
英経済指標【英中銀政策金利】,2009年1月8日（木）21:01:00,"＊英中銀政策金利　21:00
結果　1.50%
予想　1.50%　現行　2.00%",,,,,,,,,,,,,,,
ロンドン市場　英中銀は政策金利を50bp引き下げて1.5％に,2009年1月8日（木）21:09:00,"英中銀は市場の大方の予想通り政策金利を50bp引き下げて1.5％とした。同水準は英中銀設立以来の最低水準となる。全般にポンド買いが優勢になっている。ユーロポンドは直後に0.8990レベルに売られた後、0.9030レベルまで上昇した。しかし、現在は再び売りが先行して0.8960レベルへと軟化している。ポンド円は137.50近辺へ下落後、139.00レベルへ反発、ポンドドルは1.5020レベルから1.5160近辺へと上昇した。

EUR/GBP　0.8960　GBP/JPY　138.95　GBP/USD　1.5160",,,,,,,,,,,,,,,
英中銀声明　世界景気は異常な急減速,2009年1月8日（木）21:13:00,英中銀は利下げ発表後の声明で、世界景気は以上な急減速となっている、金融緩和・ポンド安、インフレ低下が景気の刺激に、CPIが目標の2％を下回るリスク、企業および消費者の信頼感の低下が顕著、などと述べた。,,,,,,,,,,,,,,,
（修正）英中銀声明　世界景気は異常な急減速,2009年1月8日（木）21:16:00,"※本文中の文字に誤りがありましたので修正しました。

英中銀は利下げ発表後の声明で、世界景気は異常な急減速となっている、金融緩和・ポンド安、インフレ低下が景気の刺激に、CPIが目標の2％を下回るリスク、企業および消費者の信頼感の低下が顕著、などと述べた。",,,,,,,,,,,,,,,
ロンドン市場　ポンドドル1.52レベルに上昇,2009年1月8日（木）21:27:00,"英政策金利の利下げ幅が0.5％に留まったことで、ポンド買いが一気に強まった。ポンドドルは一時1.5230レベルまで急伸、ロンドン市場の安値から200ポイント超の上昇幅となった。ユーロポンドは0.8905レベル、ポンド円は139.80レベルまでポンド買いが進行している。その他主要通貨はポンドクロスを除いて模様眺め。ポンド買いがどこまで進むかウォッチしている状況だ。ドル円は91.60-80、ユーロドルは1.3540-70レベルで揉み合い。

GBP/USD　1.5230　GBP/JPY　139.66　EUR/GBP　0.8907
USD/JPY　91.68　EUR/USD　1.3563",,,,,,,,,,,,,,,
米株価指数先物　時間外取引　急落、ウォルマート見通し下方修正で,2009年1月8日（木）21:36:00,"東京時間21:33現在
ダウ平均先物3月限　8670.00（-74.00　-0.86%）
S&P500;先物3月限　898.10（-7.10　-0.78%）
NASDAQ100先物3月限　1234.25（-5.25　-0.42%）",,,,,,,,,,,,,,,
NY市場　この後のイベント,2009年1月8日（木）21:40:00,"22:30　米新規失業保険申請件数（1月2日までの週）
　　　 予想　545千件　前回　492千件

9日
0:00　 カナダIvey購買担当者景況感指数（12月）
　　　 予想　37.5　前回　40.2 

1:00　オバマ次期大統領　演説　「経済政策」
2:50　ドゥゲイ・カナダ中銀副総裁
3:00　米財務省10年債入札
4:00　トリシェECB総裁　スロバキアのユーロ参加記念式典に出席
6:00　ホーニグ米カンザスシティー連銀総裁　講演　「インフラ支出」",,,,,,,,,,,,,,,
NY市場　ドル全面安に、米株指数先物の下落・ポンドドル急騰で,2009年1月8日（木）21:41:00,"英政策金利発表でポンドドルが急騰したことに加え、米株指数先物が急落したことでドル売りが強まっている。米小売大手ウォルマートは、第4四半期の1株利益見通しを91-94セントとし、市場予想の1.03-1.07ドルを下回ったことが嫌気された。

ドル円は91円台半ばから91.30台へ、ユーロドルは1.35台半ばから1.36台乗せへとドル売りが進行している。この後のイベントとしては東京時間22:30に米新規失業保険申請件数が注目される。

USD/JPY　91.29　EUR/USD　1.3637　GBP/USD 1.5285",,,,,,,,,,,,,,,
NY市場　ポンドスイス急伸　12月17日以来の水準へ,2009年1月8日（木）21:58:00,"東京時間21:00に発表された英中銀政策金利は50bp引き下げて1.5％となった。政策金利が英中銀設立以来の最低水準になったというインパクトはあるものの、事前予想通りの50bpにとどまったことがポンド買いにつながった。

ポンドの他通貨ペアと同じく、ポンドスイスも値を切り上げた。政策金利発表後、1.6600近辺から一時1.68台へと約200ポイント急伸した。これは12月17日以来のポンド高スイス安水準となる。

GBP/CHF 1.6750",,,,,,,,,,,,,,,
NY原油・金　時間外取引　米株安受け反落　マイナス圏へ,2009年1月8日（木）22:08:00,"東京時間22:06現在
NY原油先物2月限（WTI）（時間外取引）
1バレル＝42.28（-0.35　-0.82%）
NY金先物2月限（COMEX）（時間外取引）
1オンス＝843.40（+1.70　+0.20%）",,,,,,,,,,,,,,,
まもなく新規失業保険申請件数の発表,2009年1月8日（木）22:15:00,"東京時間22:30に米新規失業保険申請件数が発表される。予想および前回値は以下の通り。

＊新規失業保険申請件数（1月2日までの週）22:30
予想　545千件　前回　492千件

市場予想は545千件と前回の492千件からの増加を見込んでいる。08年11月から毎週、50万件を上回る数字が続いている。ただ、前回だけは、クリスマス週の特殊要因で50万件をやや下回った。今回もニューイヤーの休日を挟んでいるがクリスマス週ほどの影響はなさそうだ。依然、高水準の申請件数が続くとみる。",,,,,,,,,,,,,,,
米経済指標【新規失業保険申請件数】,2009年1月8日（木）22:31:00,"＊新規失業保険申請件数（1月2日までの週）22:30
結果　467千件
予想　545千件　前回　491千件（492千件から修正）",,,,,,,,,,,,,,,
NY市場　ドル売り強まる、ドル円91円割れ,2009年1月8日（木）22:39:00,"1月2日までの週の米新規失業保険申請件数は467千件と発表された。前回および予想よりは改善したものの、為替市場ではドル売りが強まっている。ドル円は一時90.90レベルと91円を割り込んでいる。ユーロドルは1.36台半ばから一気に1.37近辺へと上伸した。ポンドドルは1.53台に乗せており、ロンドン序盤からは300ポイント超高の水準で取引されている。ＪＰペニーなど米小売大手の12月既存店売上が発表されており、前年比マイナスの結果が相次いでいる。米株にとってはマイナス材料だ。

USD/JPY　90.99　EUR/USD　1.3680　GBP/USD　1.5318",,,,,,,,,,,,,,,
NY市場　ピボット分析,2009年1月8日（木）22:48:00,"ピボット分析　東京時間（22:49現在）

ドル円
現値91.11　高値92.92　安値90.90

94.41　ハイブレイク
93.66　抵抗2
92.39　抵抗1
91.64　ピボット
90.37　支持1
89.62　支持2
88.35　ローブレイク

ユーロ円
現値124.88　高値126.51　安値124.12

128.61　ハイブレイク
127.56　抵抗2
126.22　抵抗1
125.17　ピボット
123.83　支持1
122.78　支持2
121.44　ローブレイク

ポンド円
現値139.50　高値140.12　安値137.31

143.45　ハイブレイク
141.79　抵抗2
140.64　抵抗1
138.98　ピボット
137.83　支持1
136.17　支持2
135.02　ローブレイク",,,,,,,,,,,,,,,
NY原油・金　原油続落して始まる、金は反発,2009年1月8日（木）23:14:00,"NY原油先物2月限（WTI）（NY時間09:04）
1バレル＝41.89（-0.74　-1.74%）
NY金先物2月限（COMEX）
1オンス＝857.60（+15.90　+1.89%）

原油は続落して始まっている。イスラエルの空爆やレバノンのロケット弾による反撃と中東情勢が依然として混迷している中、ロンドン時間にはプラス圏で推移していたが、NY時間に入ると、景気への警戒感から再び売りが強まっている。

一方、金は為替市場のドル安を受け、反発して始まっている。",,,,,,,,,,,,,,,
NY債券　各国の長期金利　米長期債利回り低下　景気への警戒感高まる,2009年1月8日（木）23:19:00,"各国の長期金利（NY時間09:05）（%）
米2年債　 0.819（+0.008）
米10年債　2.467（-0.027）
米30年債　3.029（-0.008）
ユーロ圏　3.144（-0.054）
英　国　　3.218（-0.067）
カナダ　　2.925（-0.007）
豪　州　　4.138（-0.114）
日　本　　1.312（+0.052）

NY債券市場、利回りは低下して始まっている。世界的に株価が下落していることで、リスク回避の動きから債券買い（利回り低下）が優勢。本日は160億ドルの10年債の入札が控えている。",,,,,,,,,,,,,,,
NY市場　ドル売り強まる,2009年1月8日（木）23:34:00,"NY為替市場は次第にドル売りが強まっている。米実体経済への不透明感が再び強まってきており、ドル売り優勢の展開。序盤は世界的な株価の下落から、ドル売りの他に円買いの動きも同時に見られていたが、クロス円は次第に買い戻しも入ってきており、次第にドル売り一本の状態になってきている。

USD/JPY　91.28　EUR/USD　1.3745",,,,,,,,,,,,,,,
NY株式　続落して始まる　ウォルマートが大幅安,2009年1月8日（木）23:39:00,"NY株式8日（NY時間09:38）
ダウ平均　　　8707.10（-62.60　-0.69%）
S&P500;　　　　901.26（-5.39　-0.58%）
ナスダック　　　1592.18（-6.88　-0.42%）

CME日経平均先物　8925（大証終比：+55　+0.62%）

出来高（億株）
NYSE　　　　0.61
ナスダック　0.88

ダウ採用銘柄
J&J;　　　　　　　59.49（+0.36　+0.60%）
P&G;　　　　　　　61.04（-0.04　-0.06%）
デュポン　　　　　25.90（+0.24　+0.87%）
ボーイング　　 　44.22（-0.54　-1.17%）　
キャタピラー　　 42.93（-0.74　-1.62%）　
ユナイテッド　　 53.01（-0.51　-0.93%）　
アルコア　　　 　10.70（-0.19　-1.57%）　
HP　　　　　　 　37.53（-0.31　-0.79%）　
GE　　　　　 　　15.79（-0.32　-1.90%）　
3M　　　　　　 　57.74（-0.33　-0.56%）　
エクソンモビル　 78.89（+0.64　+0.80%）　
シェブロン　　 　74.71（+0.75　+0.97%）　
コカコーラ　　 　44.85（-0.08　-0.18%）　
ディズニー　　 　23.11（-0.07　-0.29%）　
マクドナルド　 　60.40（-0.84　-1.35%）　
ウォルマート　　50.80（-4.74　-8.46%）
ホームデポ　　　23.97（-0.60　-2.38%）
JPモルガン　　　27.80（-0.29　-0.97%）
シティG　　　　 7.23（+0.08　+1.07%）
バンカメ　　　　 13.81（+0.10　+0.70%）
アメックス　　　 19.73（-0.28　-1.33%）　
クラフト　　　　　　 27.84（+0.08　+0.29%）
IBM　　　　　　87.89（+0.10　+0.11%）
AT&T;　　　　　 27.01（-0.20　-0.71%）
ベライゾン　　　31.80（-0.10　-0.31%）
マイクロソフト　 19.73（+0.22　+1.06%）
インテル　　　 　14.47（+0.05　+0.33%）
ファイザー　　　17.46（-0.03　-0.17%）
メルク　　　　 　29.42（-0.07　-0.23%）
GM　　　　　 　4.08（-0.05　-1.27%）",,,,,,,,,,,,,,,
NY市場　ドル円　10日線ブレイク　21日線は今のところサポートされる,2009年1月8日（木）23:53:00,"ドル円は91円台前半での取引となっている。全体的にドル売りが強まる中、弱い米雇用指標の発表や米小売大手ウォルマートの業績見通しの下方修正などもあって、ドル円は一時91円をブレイクした。その後は買い戻しも入り91円台に戻している。

きょうの下げで91.50/60水準にあった10日移動平均線をブレイク、サポートからレジスタンスに変化しているようだ。更に下に21日移動平均線が90.80水準にあり、今ところはサポートされた格好。目先は10日線の上を回復するか、それとも21日線のブレイクを試しに行くか注目される。

USD/JPY　91.27",,,,,,,,,,,,,,,
NY株式　ダウ平均下げ幅100ドル超す,2009年1月8日（木）23:56:00,"NY株式8日（NY時間09:56）
ダウ平均　　　8669.59（-100.11　-1.11%）
S&P500;　　　　898.84（-7.81　-0.84%）
ナスダック　　　1586.38（-12.68　-0.77%）

CME日経平均先物　8905（大証終比：+35　+0.40%）

出来高（億株）
NYSE　　　　1.25
ナスダック　2.18",,,,,,,,,,,,,,,
カナダ経済指標【Ivey購買担当者景況感指数】,2009年1月9日（金）00:01:00,"＊Ivey購買担当者景況感指数（12月）9日0:00
結果　39.1
予想　37.5　前回　40.2",,,,,,,,,,,,,,,
"NY株式　続落　ウォルマート見通し下方修正で景気先行き懸念強まる
",2009年1月9日（金）00:12:00,"NY株式8日（NY時間10:12）
ダウ平均　　　8689.66（-80.04　-0.89%）
S&P500;　　　　900.93（-5.72　-0.61%）
ナスダック　　　1592.42（-6.64　-0.40%）

CME日経平均先物　8925（大証終比：+55　+0.62%）

出来高（億株）
NYSE　　　　1.70
ナスダック　3.18

8日のNY株式市場は続落、ダウ平均は一時110ドル超下落している。寄り付き前に発表になった米小売り大手のウォルマートの11-１月期の業績見通しが下方修正されたことで、米景気の先行きに対する警戒感が強まっている。ウォルマートは9％下落しており指数を押し下げている。その他、ホームデポやマクドナルドなど消費関連株が下落。

ナスダックも続落。RIM、インテル、シスコが軟調に推移。ウォルマートの業績見通しは下方修正されたものの、同業のシアーズは急伸している。こちらは、きょう発表した業績見通しが予想を上回っていた。

ダウ採用銘柄
J&J;　　　　　　　58.81（-0.32　-0.54%）
P&G;　　　　　　　60.46（-0.62　-1.00%）
デュポン　　　　　25.64（-0.02　-0.07%）
ボーイング　　 　44.37（-0.39　-0.84%）　
キャタピラー　　 42.93（-0.74　-1.62%）　
ユナイテッド　　 53.14（-0.38　-0.69%）　
アルコア　　　 　11.01（+0.12　+0.99%）　
HP　　　　　　 　37.18（-0.66　-1.68%）　
GE　　　　　 　　15.80（-0.31　-1.84%）　
3M　　　　　　 　57.88（-0.19　-0.32%）　
エクソンモビル　 79.05（+0.80　+1.00%）　
シェブロン　　 　74.19（+0.23　+0.30%）　
コカコーラ　　 　44.76（-0.17　-0.38%）　
ディズニー　　 　23.13（-0.05　-0.21%）　
マクドナルド　 　60.03（-1.21　-1.95%）　
ウォルマート　　50.50（-5.04　-9.00%）
ホームデポ　　　23.99（-0.58　-2.30%）
JPモルガン　　　27.65（-0.44　-1.47%）
シティG　　　　 7.25（+0.10　+1.34%）
バンカメ　　　　 13.88（+0.17　+1.19%）
アメックス　　　 19.72（-0.29　-1.38%）　
クラフト　　　　　　 27.86（+0.10　+0.36%）
IBM　　　　　　87.31（-0.48　-0.54%）
AT&T;　　　　　 27.21（0.00　0.00%）
ベライゾン　　　32.27（+0.37　+1.16%）
マイクロソフト　 19.92（+0.41　+1.97%）
インテル　　　 　14.35（-0.07　-0.46%）
ファイザー　　　17.46（-0.03　-0.17%）
メルク　　　　 　29.25（-0.24　-0.80%）
GM　　　　　 　4.01（-0.12　-3.05%）",,,,,,,,,,,,,,,
NY市場　株価軟調でクロス円、再び売り優勢に,2009年1月9日（金）00:26:00,"ユーロ円、ポンド円は先程から再び売りが強まっている。リスク回避の動きも出る中、NY時間に入って買い戻しが強まっていたが、NY株式市場でダウ平均が100ドル超下落していることから、再び円買いの動きが強まっている。その流れにドル円も再び91円割れをトライしそうだ。

USD/JPY　91.05　EUR/JPY　125.05　GBP/JPY　138.49",,,,,,,,,,,,,,,
NY市場　欧州大手シンクタンク　ユーロ圏の成長見通し下方修正,2009年1月9日（金）00:42:00,"ユーロドルは1.3740近辺での取引となている。英中銀の利下げが予想の範囲内だったことで、ポンド買いが強まったことをきっかけに、為替市場ではドル売りが優勢となり、ユーロドルも買いが強まった。ロンドン時間は比較的軟調に推移していたものの、急速に買い戻され、1.3550近辺から一時1.3800近辺まで急伸している。

ドル売りの流れがユーロドルを押し上げているが、ユーロ圏の景気も決して良いわけではない。独Ifo、仏INSEE、伊ISAEの欧州大手シンクタンクが共同でユーロ圏のGDP見通しを発表。08年10-12月期は-0.6％、09年1-3月期は-0.4％、4-6月期は-0.2％と、この先もマイナス成長が継続すると見込み、前回の予想から下方修正している。

EUR/USD　1.3756",,,,,,,,,,,,,,,
NY市場　円相場　一部、株式にらみ復活も,2009年1月9日（金）00:57:00,"クロス円、ドル円は再びリバウンドの動きが優勢となっている。朝方下落していた株価が下げ渋っており、ナスダックはプラスに転じていることから、ドル円は91.00近辺から91.20近辺、ユーロ円は125.00近辺から125.30近辺まで上昇している。前日のNY時間辺りから、円相場が株価の動向に再び敏感になり始めており、景気リスクへの意識の高まりから、株式にらみの動きが、一部復活しているようだ。

USD/JPY　91.27　EUR/JPY　125.31",,,,,,,,,,,,,,,
NY市場　他金融市場　1時台　ダウ平均下げ幅縮小,2009年1月9日（金）01:00:00,"NY株式8日（NY時間11:00）
ダウ平均　　　8720.88（-48.82　-0.54%）
S&P500;　　　　904.69（-1.96　-0.21%）
ナスダック　　　1601.02（+1.96　+0.12%）

CME日経平均先物　8970（大証終比：+100　+1.13%）

出来高（億株）
NYSE　　　　2.98
ナスダック　5.88

欧州株式8日（GMT16:00）
英FT100　 4478.16（-29.35　-0.65%）
独DAX　　4891.51（-45.96　-0.93%）
仏CAC40　 3307.30（-38.79　-1.16%）

米国債利回り（NY時間11:00）
2年債　 　0.827（+0.016）
10年債　　2.479（-0.016）
30年債　　3.047（+0.011）

各国10年債
ユーロ圏　3.131（-0.067）
英　国　　3.207（-0.078）
カナダ　　2.915（-0.017）
豪　州　　4.138（-0.114）
日　本　　1.312（+0.052）

NY原油・金
NY原油先物2月限（WTI）（NY時間11:00）
1バレル＝41.12（-1.51　-3.54%）
NY金先物2月限（COMEX）
1オンス＝857.10（+15.40　+1.83%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,,
NY市場　今すぐ断固たる措置を取らなければ手遅れに,2009年1月9日（金）01:26:00,"オバマ次期大統領の経済政策に関する演説が始まっている。今すぐ断固たる措置を取らなければ、何年も景気後退が続く恐れがあり、手遅れになると述べている。事前に伝わっていた内容であることもあって、市場の反応は今のところ限定的。

ドル円は91.10近辺、ユーロドルは1.3750近辺で推移している。

USD/JPY　91.06　EUR/USD　1.3750",,,,,,,,,,,,,,,
オバマ次期大統領　1000ドルの減税含む,2009年1月9日（金）01:27:00,景気刺激策には中産階級の家庭で1000ドルの減税含む。,,,,,,,,,,,,,,,
オバマ次期大統領  2 景気対策で短期的に財政赤字は拡大,2009年1月9日（金）01:31:00,"景気対策で短期的に財政赤字は拡大する。
失業保険給付の延長措置は今後も続ける。
代替エネルギーの生産を今後3年間で倍増。
連邦政府の建造物の75％を近代化。
一般家庭のエネルギー効率を改善。",,,,,,,,,,,,,,,
NY株式　ダウ平均　オバマの発言後、再び下落,2009年1月9日（金）01:33:00,"NY株式8日（NY時間11:34）
ダウ平均　　　8670.94（-98.76　-1.10%）
S&P500;　　　　899.41（-7.24　-0.77%）
ナスダック　　　1594.64（-4.42　-0.27%）

CME日経平均先物　8925（大証終比：+55　+0.62%）

出来高（億株）
NYSE　　　　3.77
ナスダック　7.39",,,,,,,,,,,,,,,
オバマ次期大統領  3　雇用300万人創出,2009年1月9日（金）01:37:00,経済対策で雇用300万人創出。,,,,,,,,,,,,,,,
NY市場　オバマ演説後、株価売り強まり、円買いの動きも,2009年1月9日（金）01:46:00,"オバマ次期大統領の経済政策の演説が行われた。1000ドルの減税、代替エネルギー生産倍増など対策が発表されたが、演説後の株式市場の反応が売りだったことから、為替市場では円買いの動きも出ている。ユーロ円は一時124円台に、ポンド円は一時138円台を割り込んだ。

USD/JPY　91.20　EUR/JPY　125.06　GBP/JPY　138.36",,,,,,,,,,,,,,,
NY市場　他金融市場　2時台　NY原油先物　軟調に推移,2009年1月9日（金）02:04:00,"NY株式8日（NY時間12:04）
ダウ平均　　　8678.03（-91.67　-1.02%）
S&P500;　　　　901.16（-5.49　-0.59%）
ナスダック　　　1595.91（-3.15　-0.19%）

CME日経平均先物　8930（大証終比：+60　+0.68%）

出来高（億株）
NYSE　　　　4.32
ナスダック　8.39

欧州株式8日（GMT17:04）
英FT100　 4505.37（-2.14　-0.05%）
独DAX　　4879.91（-57.56　-1.17%）
仏CAC40　 3324.33（-21.76　-0.65%）

米国債利回り（NY時間12:04）
2年債　 　0.803（-0.008）
10年債　　2.467（-0.027）
30年債　　3.046（+0.010）

各国10年債
ユーロ圏　3.127（-0.071）
英　国　　3.219（-0.066）
カナダ　　2.898（-0.034）
豪　州　　4.138（-0.114）
日　本　　1.312（+0.052）

NY原油・金
NY原油先物2月限（WTI）（NY時間12:04）
1バレル＝41.98（-0.65　-1.52%）
NY金先物2月限（COMEX）
1オンス＝855.70（+14.00　+1.66%）

*CME日経平均先物は20分遅れ",,,,,,,,,,,,,,,
NY市場　ポンド買い一服、金利発表前の水準に戻す,2009年1月9日（金）02:31:00,"NY時間の昼になって、ポンド買いは一服している。ドル売りの動きから、対ドルでは底堅い動きとなっているが、対ユーロ、円では上げ幅を失う動きとなっている。きょうは英中銀の利下げが発表になり、市場の予想通り0.5％の利下げ幅となった。利下げ幅が比較的小幅に留まったことで、発表後ポンド買いが強まったが、当面の材料出尽くしもあり、ポンド買いは一服している。ユーロポンドは一時0.89を割り込む場面も見られたが、0.90台に戻す動き。ポンド円も円買いの動きもあり、140円台から138円台前半に戻し、英政策金利発表前の水準に戻している。

GBP/USD　1.5165　EUR/GBP　0.9042　GBP/JPY　138.26",,,,,,,,,,,,,,,
欧州株　終値,2009年1月9日（金）02:45:00,"欧州株式8日終値
英FT100　 4505.37（-2.14　-0.05%）
独DAX　　4879.91（-57.56　-1.17%）
仏CAC40　 3324.33（-21.76　-0.65%）",,,,,,,,,,,,,,,
米10年債入札結果　最高落札利回り　2.419％,2009年1月9日（金）03:04:00,"最高落札利回り　2.419％
応札倍率　　　　　2.59倍（前回2.44倍）",,,,,,,,,,,,,,,
