head,date,text,景気,物価,金利,マネーサプライ,,,,,,,,,,
NY市場　7日は豪中銀金利発表、先月のような波乱も,2009年4月7日（火）04:29:00,"豪ドル/ドルは0.71台前半で推移。先週から0.7200前後では抵抗感が強まったほか、この日は対主要通貨でドル高が進んだこともあり、騰勢は一時おさまっている。

7日の東京時間13:30、豪中銀が政策金利発表を行う。据え置き予想が多いものの、0.25％or0.50％予想もあり、事前予想は固まっていない。米景気悪化ペースが和らいできている様子もあり、再度の据え置きが想定される一方で、利下げ停止は示唆されておらず、先月のように波乱もありそうだ。ただ、波乱が想定されていることから、値動きは意外におとなしい可能性も。

AUD/USD 0.7114",,,,,,,,,,,,,,
NY市場　米株式市場は下げ幅縮小、リサーチ・イン・モーションは今日も高い,2009年4月7日（火）04:59:00,"終盤のNY市場でドル円、クロス円ともにしっかりと推移。米企業の決算発表の本格化を控えて、慎重な業績見通しが増えていることから、序盤は株安が進んだが、足元では買い戻しが強まっている。12－2月期の決算が好調だったリサーチ・イン・モーションには本日も買いが続いており、アップルも連れ高。先週末のようにマーケットを下支えしている。
USD/JPY 101.02",,,,,,,,,,,,,,
NY株式　終値　ダウ平均は41ドル安,2009年4月7日（火）05:27:00,"NY株式6日（NY時間16:24）
ダウ平均　　　7975.85（-41.74　-0.52%）
S&P500;　　　　835.48（-7.02　-0.83%）
ナスダック　　　1606.71（-15.16　-0.93%）

CME日経平均先物　8935（大証終比：+45　+0.50%）

出来高（億株）
NYSE　　　　12.96
ナスダック　20.63",,,,,,,,,,,,,,
S&P500;種　セクター別騰落率,2009年4月7日（火）05:28:00,"S&P500;種　セクター別騰落率
△△上昇率上位△△
 自動車製造     14.9％
 旅客航空輸送業     6.9％
 家庭用品・雑貨     4％
 航空宇宙・防衛     3.5％
 管理健康医療     3.4％
 自動二輪車製造     3.2％
 タイヤ・ゴム     2.3％
 建築関連製品     2.2％
 コングロマリット     1.8％
 バイオテクノロジー     1.6％

▼▼下落率上位▼▼
 写真用品     -6.4％
 銀行     -6％
 地方銀行     -5.1％
 家具・装飾     -4.8％
ホームエンターテイメント・ソフトウエア     -4.8％
 家具・装飾小売り     -4.5％
 石油・ガス採掘     -4.3％
 紙製品     -4％
 不動産サービス     -3.9％
 民生用電子機器     -3.9％
 衣料小売り     -3.7％
 建設資材     -3.7％

＊数値は前日比％",,,,,,,,,,,,,,
NY株式　決算に慎重な見方が重石に、後半にかけては下げ幅縮小別,2009年4月7日（火）05:32:00,"NY株式6日（NY時間16:24）
ダウ平均　　　7975.85（-41.74　-0.52%）
S&P500;　　　　835.48（-7.02　-0.83%）
ナスダック　　　1606.71（-15.16　-0.93%）

CME日経平均先物　8935（大証終比：+45　+0.50%）

出来高（億株）
NYSE　　　　12.96
ナスダック　20.63

6日のNY株式市場は下落。決算発表の本格化を控えて業績に慎重な見方が相次いだことが相場を圧迫した。ただ、リサーチ・イン・モーションなど業績不安が後退した銘柄には買いが続いたこともあり、下値を売り込むような動きも限定された。
米金融機関の業績に悲観的な見方が示されたことで金融株が売られた上、堅調推移が続いていたことでキャタピラーにも利益確定の売りが入った。ドイツ銀行のアナリストが金属関連の業績見通しを引き下げた中、アルコアも軟調。同様に、アメックスも弱気な利益見通しが示されたため売られた。このほか、シスコ・システムズも下落。GSがコンビクション・バイからニュートラルに投資判断を引き下げた。

ダウ採用銘柄
J&J;　　　　　　　52.20（+0.05　+0.10%）
P&G;　　　　　　　49.65（+0.02　+0.04%）
デュポン　　　　　25.44（-0.53　-2.04%）
ボーイング　　 　38.16（+0.47　+1.25%）　
キャタピラー　　 31.31（-0.84　-2.61%）　
ユナイテッド　　 46.31（+0.68　+1.49%）　
アルコア　　　 　7.91（-0.26　-3.18%）　
HP　　　　　　 　33.76（-0.39　-1.14%）　
GE　　　　　 　　11.19（+0.25　+2.29%）　
3M　　　　　　 　52.08（-0.03　-0.06%）　
エクソンモビル　 70.05（-0.39　-0.55%）　
シェブロン　　 　69.89（-0.59　-0.84%）　
コカコーラ　　 　44.99（+0.02　+0.04%）　
ディズニー　　 　19.62（-0.38　-1.90%）　
マクドナルド　 　55.94（-0.70　-1.24%）　
ウォルマート　　53.43（-0.37　-0.69%）
ホームデポ　　　24.85（-0.15　-0.60%）
JPモルガン　　　28.20（-1.08　-3.69%）
シティG　　　　 2.72（-0.13　-4.56%）
バンカメ　　　　 7.48（-0.12　-1.58%）
アメックス　　　 15.16（-0.17　-1.11%）　
クラフト　　　　 22.60（-0.40　-1.74%）
IBM　　　　　　101.56（-0.66　-0.65%）
AT&T;　　　　　 26.59（-0.24　-0.89%）
ベライゾン　　　33.03（+0.24　+0.73%）
マイクロソフト　 18.76（+0.01　+0.05%）
インテル　　　 　15.86（-0.09　-0.56%）
ファイザー　　　13.71（+0.16　+1.18%）
メルク　　　　 　26.67（+0.21　+0.79%）
GM　　　　　 　2.27（+0.17　+8.10%）",,,,,,,,,,,,,,
NY債券　入札控えて長期債中心に売り,2009年4月7日（火）05:59:00,"米国債利回り（NY時間16:49）
2年債　 　0.939（-0.008）
10年債　　2.922（+0.037）
30年債　　3.721（+0.031）
2-10年債　198（+3） 

6日の債券市場では今週の入札を控えて需給懸念から長期債中心に売りが入った。終盤にかけて米株式市場が下げ渋ったことも10年債利回りを押し上げた。2-10年債利回りは198ベーシスポイントだった。",,,,,,,,,,,,,,
NY時間に伝わった発言・ニュース,2009年4月7日（火）06:18:00,"【経済指標結果】
【カナダ】
＊住宅建設許可（2月）21:30
結果　-15.9%
予想　-4.0%　前回　-6.0%（-4.6%から修正）（前月比） 

＊Ivey購買担当者景況感指数（3月）23:00
結果　43.2
予想　47.0　前回　45.2

【発言・ニュース】
【アメリカ】
＊著名投資家　ジョージソロス氏
米経済について、第3、第4四半期の回復は期待しておらず、減速はもうしばらく続く。
どれだけ落ち込むかにもよるが、2010年の回復の可能性はある。
現在の市場の動きについては、リバウンドは期待できるが、ベアマーケットラリーの範囲。

＊米財務省
不良資産買取のための官民共同ファンドの参加基準を緩和する。
参加申請期限を4月24日に2週間延長する。

＊FRB
主要4中銀（BOE、ECB、BOJ、SNB）からスワップを通じて外貨供与を受ける。
外貨供与は最大で英中銀が300億ポンド、ECBが800億ユーロ、スイス中銀が400億スイスフラン、日銀が10兆円。
外貨スワップの有効期限は10月30日

【ユーロ圏】
＊ノボトニー・オーストリア中銀総裁
主要政策金利には追加措置の余地があるが1.00％が限界。
翌日物の預金金利をゼロに引き下げるべきではない。
ECBは非伝統的手法について幅広い選択肢を協議している。
資金市場は機能しているが長期信用市場は改善が必要。",,,,,,,,,,,,,,
NY市場概況　株安で利益確定の動き主体,2009年4月7日（火）06:24:00,6日のNY市場では、米企業の決算発表の本格化を控えて、業績見通しに悲観的な見方が相次いだことで米株式市場が軟化し、リスク回避の円買いやドル買いの流れが続いた。後半にかけて米株式市場が下げ幅を縮めたことで、リスク回避圧力も後退した。このところリスク選好の動きから円安やドル安が進んでいた中、利益確定の円買いやドル買いも出た。,,,,,,,,,,,,,,
NY市場概況　利益確定の円買い、クロス円に上昇一服感,2009年4月7日（火）06:25:00,ドル円はロンドン市場からの売り圧力が継続し、100円台中盤まで反落。米株式市場が下げ幅を縮めると、101円ちょうど前後まで戻した。ロンドン市場から円買いの流れが継続した中、ユーロ円は134円台中盤まで下落した後、135円台中盤まで水準を切り上げた。ポンド円は147円台後半まで下げた後、149円ちょうど前後まで戻した。ただ、利益確定の円買いも入ったことで、安値からの戻りは限られた。,,,,,,,,,,,,,,
NY市場概況　ドル高の流れが継続、週明けから神経質な動き,2009年4月7日（火）06:26:00,NYオープンまでのドル高の流れや、米株式市場の軟調推移を受けて、NY前半は対主要通貨でドル高が続いた。ユーロドルは1.33台中盤まで、ポンドドルは1.46台後半まで下落。NY午後に入るとリスク回避のドル高が一服し、ユーロドルは1.3400ちょうど前後まで、ポンドドルは1.47台後半まで小幅に戻した。ポンドドルはユーロ買い・ポンド売りの動きに圧迫される場面もあった。ユーロポンドは0.90台前半から0.9110水準まで反発後、0.91割れで推移。ドルカナダは原油安もあって1.24台前半まで上昇し、終盤にかけては1.24割れまで調整した。,,,,,,,,,,,,,,
東京市場　本日は豪中銀金利発表、今回も利下げ見送りか,2009年4月7日（火）06:38:00,"早朝の東京市場で豪ドル/ドルは0.71台前半で推移。豪ドル円は72円ちょうど前後で取引されている。昨日の海外市場でオセアニア通貨は欧州通貨ほど軟調な動きにはならず、比較的底堅い動きだった。米株式市場が小幅安で引けたこともあって早朝もしっかりしているが、本日は豪中銀金利発表が予定されている。市場予想が固まっておらず、相応の警戒感がある。

AUD/USD 0.7120 AUD/JPY 71.89",,,,,,,,,,,,,,
本日の予定【経済指標】,2009年4月7日（火）07:07:00,"【日本】
＊日銀政策金利　時刻未定
予想　0.1%　現行　0.1%

【オーストラリア】
＊豪中銀政策金利 13:30
予想　3.25%　現行　3.25%

【イギリス】
＊鉱工業生産（2月）17:30
予想　-1.2%　前回　-2.6%（前月比）
予想　-12.5%　前回　-11.4%（前年比）

＊製造業生産高（2月）17:30
予想　-1.5%　前回　-2.9%（前月比）
予想　-14.2%　前回　-12.8%（前年比）

【ユーロ圏】
＊ユーロ圏GDP・確報値（第4四半期）18:00
予想　-1.5%　前回　-1.5%（季調済・前期比）
予想　-1.3%　前回　-1.3%（季調済・前年比）",,,,,,,,,,,,,,
本日の予定【発言・イベント】,2009年4月7日（火）07:14:00,"閣議、閣議後会見
日銀金融政策決定会合（2日目）

15:30　白川日銀総裁　会見",,,,,,,,,,,,,,
東京市場　NZ企業信頼感、設備稼働率が低下、NZ軟調に,2009年4月7日（火）07:20:00,"さきほど発表された第1四半期のNZ企業信頼感、設備稼働率が弱い結果だったことを受けてNZドル売りが進んでいる。NZドル/ドルは0.5870-80から0.5830-40へと下落、NZドル円は59.20-30から58.80-90へと売られている。NZドル/ドルは前日の安値を底割れ、NZドル円は前日の安値水準に並ぶ水準。

第1四半期のNZ企業信頼感は-65と第4四半期の-64から一段と悪化した。また、同設備稼働率も86.3％と前四半期の88.8％から低下していた。

NZD/USD　0.5843　NZD/JPY　58.98　AUD/NZD 1.2152",,,,,,,,,,,,,,
東京市場　豪政府、高速インターネット通信関連の投資策発表,2009年4月7日（火）07:46:00,"豪政府は、豪州全土に高速インターネット通信を整備する方針を発表している。8年計画で総額430億豪ドルを民間セクターに投じるとしている。当初の投資額は47億豪ドルになる。

豪ドルは目立った反応を示していないが、やや下げ渋りの動きがみられている。本日は東京時間13:30に豪中銀政策金利が発表される。豪ドルに注目が集まっている。

AUD/JPY　71.75　AUD/USD　0.7113　AUD/NZD 1.2173",,,,,,,,,,,,,,
東京市場　早朝、海外市場でのドル買い水準から,2009年4月7日（火）07:58:00,"週明けの海外市場では米欧の株価が軟調だったことから、前週までのリスク選好の動きに調整が強まった。クロス円中心に円が買い戻され、対欧州通貨などで幅広くドルが買い戻された。ユーロ円は137円台から一時134円台半ばへ、ポンド円は151円台から148円割れまで売られた。同時にユーロドルは1.35台から1.33台半ばまで、ポンドドルは1.49台から1.46台後半まで反落した。一方、ドル円はクロス円の売りに影響で上値が押さえられ、101円台半ばから一時100円台半ばへと押し戻されていた。今週は週末にイースター関連の連休を控えており、特に欧州勢のポジション調整が入りやすい環境にある。また、早くも来週の米金融機関決算を控えて不透明感が増しているとの見方があった。

本日の東京市場では、日銀金融政策決定会合および豪中銀金融政策理事会で政策金利が発表される。日銀は現行の金融政策を維持する公算が高い。豪中銀は据え置きとの見方が大勢だが、一部には25bpないし50bpの利下げ観測も出ている。日銀の発表時刻は未定だが、通常は昼過ぎになることが多い。豪中銀は13:30の予定。序盤は両中銀の政策金利発表を控えて、株価にらみの神経質な取引が予想されよう。

USD/JPY　100.76　EUR/USD　1.3396　GBP/USD　1.4729
EUR/JPY　135.02　GBP/JPY　148.42",,,,,,,,,,,,,,
"東京市場　ピボット分析（主要国通貨）
",2009年4月7日（火）08:01:00,"東京時間6:00現在

ドル円
終値100.99　高値101.45　安値99.93

103.17　ハイブレイク
102.31　抵抗2
101.65　抵抗1
100.79　ピボット
100.13　支持1
99.27　支持2
98.61　ローブレイク

ユーロドル
終値1.3417　高値1.3583　安値1.3358

1.3772　ハイブレイク
1.3678　抵抗2
1.3547　抵抗1
1.3453　ピボット
1.3322　支持1
1.3228　支持2
1.3097　ローブレイク

ポンドドル
終値1.4770　高値1.4959　安値1.4671

1.5217　ハイブレイク
1.5088　抵抗2
1.4929　抵抗1
1.4800　ピボット
1.4641　支持1
1.4512　支持2
1.4353　ローブレイク

ドルスイス
終値1.1364　高値1.1407　安値1.1241

1.1600　ハイブレイク
1.1503　抵抗2
1.1434　抵抗1
1.1337　ピボット
1.1268　支持1
1.1171　支持2
1.1102　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（資源国通貨）,2009年4月7日（火）08:02:00,"東京時間6:00現在

オージードル
終値0.7139　高値0.7209　安値0.7080

0.7334　ハイブレイク
0.7272　抵抗2
0.7205　抵抗1
0.7143　ピボット
0.7076　支持1
0.7014　支持2
0.6947　ローブレイク

キーウィドル
終値0.5883　高値0.5980　安値0.5849

0.6090　ハイブレイク
0.6035　抵抗2
0.5959　抵抗1
0.5904　ピボット
0.5828　支持1
0.5773　支持2
0.5697　ローブレイク

ドルカナダ
終値1.2383　高値1.2442　安値1.2225

1.2692　ハイブレイク
1.2567　抵抗2
1.2475　抵抗1
1.2350　ピボット
1.2258　支持1
1.2133　支持2
1.2041　ローブレイク",,,,,,,,,,,,,,
"東京市場　ピボット分析（クロス円）
",2009年4月7日（火）08:03:00,"東京時間6:00現在

ユーロ円
終値135.49　高値137.41　安値133.72

141.05　ハイブレイク
139.23　抵抗2
137.36　抵抗1
135.54　ピボット
133.67　支持1
131.85　支持2
129.98　ローブレイク

ポンド円
終値149.17　高値151.53　安値147.03

155.96　ハイブレイク
153.74　抵抗2
151.46　抵抗1
149.24　ピボット
146.96　支持1
144.74　支持2
142.46　ローブレイク

スイス円
終値88.87　高値90.00　安値87.69

92.33　ハイブレイク
91.16　抵抗2
90.02　抵抗1
88.85　ピボット
87.71　支持1
86.54　支持2
85.40　ローブレイク

豪ドル円
終値72.09　高値72.86　安値70.89

74.97　ハイブレイク
73.92　抵抗2
73.00　抵抗1
71.95　ピボット
71.03　支持1
69.98　支持2
69.06　ローブレイク

NZドル円
終値59.41　高値60.36　安値57.44

63.62　ハイブレイク
61.99　抵抗2
60.70　抵抗1
59.07　ピボット
57.78　支持1
56.15　支持2
54.86　ローブレイク

カナダドル円
終値81.56　高値82.89　安値80.60

85.06　ハイブレイク
83.97　抵抗2
82.77　抵抗1
81.68　ピボット
80.48　支持1
79.39　支持2
78.19　ローブレイク",,,,,,,,,,,,,,
東京市場　ピボット分析（新興国通貨）,2009年4月7日（火）08:04:00,"東京時間6:00現在

ランド円
終値11.14　高値11.28　安値10.95

11.63　ハイブレイク
11.45　抵抗2
11.30　抵抗1
11.12　ピボット
10.97　支持1
10.79　支持2
10.64　ローブレイク

シンガポールドル円
終値67.01　高値67.64　安値65.80

69.67　ハイブレイク
68.66　抵抗2
67.83　抵抗1
66.82　ピボット
65.99　支持1
64.98　支持2
64.15　ローブレイク

香港ドル円
終値13.03　高値13.09　安値12.80

13.44　ハイブレイク
13.26　抵抗2
13.15　抵抗1
12.97　ピボット
12.86　支持1
12.68　支持2
12.57　ローブレイク",,,,,,,,,,,,,,
東京市場　英製造業売上指数が落ち込む、ポンドは反応薄,2009年4月7日（火）08:08:00,"さきほど英商工会議所が第1四半期の製造業売上指数を-55と発表した。第4四半期の-38から一段と悪化、統計開始来の低水準を記録している。また、サービス業売上指数は-23と前四半期の-31から改善していた。

製造業とサービス業の売上状況の乖離をどう解釈するのか、ポンド相場は現状では反応薄。

GBP/USD　1.4736　GBP/JPY　148.58　EUR/GBP　0.9092",,,,,,,,,,,,,,
東京市場　円買い強まる、ドル円100円台半ばへ軟化,2009年4月7日（火）08:37:00,"ドル円が100.40近辺へと下落、前日海外市場の安値水準を割り込んだ。クロス円も軟調で、ユーロ円は134円割れ、ポンド円は148円割れの水準。また、NZドルは朝方発表された第1四半期のNZ企業信頼感が最低水準を記録したこともあって、売りが加速している。NZドル円は59円割れから一気に58.30－40レベルへと下値を伸ばしている。東京市場早朝は、円買いが優勢になっている。昨日の海外市場では米金融機関への不透明感などから株式が軟調だった。著名投資家ソロス氏は米官民ファンドについて疑問を呈す発言を行っていた。

NZD/JPY　58.35　AUD/JPY　71.19　USD/JPY　100.48　EUR/JPY　134.09　GBP/JPY　147.52",,,,,,,,,,,,,,
寄付き前の外資系証券経由の注文状況　差し引き50万株の買い越し観測,2009年4月7日（火）08:41:00,"差し引き50万株の買い越し観測
売り注文　1870万株
買い注文　1920万株",,,,,,,,,,,,,,
東京市場　3月末の外貨準備高1兆185.49億ドルに,2009年4月7日（火）08:54:00,"財務省は3月末時点での外貨準備高を1兆185.49億ドルと発表した。前月比＋91.95億ドルだった。

為替市場は、東京株式市場の開始を控えて、やや円買いの勢いが落ち着いたところ。ドル円は100.60近辺、ユーロ円134.20近辺で取引されている。

USD/JPY　100.56　EUR/JPY　134.19　GBP/JPY　147.59",,,,,,,,,,,,,,
日経平均　寄り付き　19.27円安　8838.66円,2009年4月7日（火）09:01:00,,,,,,,,,,,,,,,
東京市場　日経平均小幅安で始まる、ドル円100.22レベルまで軟化,2009年4月7日（火）09:08:00,"日経平均は前日比20円安水準から取引が始まっている。為替市場は一段と円買いが強まり、ドル円は100.22レベルの安値をつけている。クロス円も一段安で、ユーロ円は一時133.70レベル、ポンド円は147円割れ水準へと下押しされた。ただ、ポンド円などは早朝から2円以上も円高に振れており、短期的には買い戻しの動きも散見される。いずれにせよ、株価にらみの神経質な展開となっている。

USD/JPY　100.39　EUR/JPY　133.95　GBP/JPY　147.14",,,,,,,,,,,,,,
本日の新規投信設定情報（なし)  ,2009年4月7日（火）09:20:00,本日の新規投信設定はありません。  ,,,,,,,,,,,,,,
東京市場　日経平均、プラスに転じる,2009年4月7日（火）09:23:00,"日経平均がプラスに転じている。9:22現在、13.47円高の8871.40円。円買いの勢いは和らぎ、ドル円は100.60台まで反発している。

USD/JPY　100.57　EUR/JPY　134.26　GBP/JPY　147.68",,,,,,,,,,,,,,
東京市場　仲値前後の動きに注目,2009年4月7日（火）09:38:00,"東京市場は株価にらみの展開となっている。現在は、日経平均が50円安と再びマイナス圏へと反落していることで円売りの勢いも止まっているところ。仲値にかけての外貨需要の観測もあり売買が交錯している。ドル円にとっては早朝の100.90-101.00レベルが短期レジスタンスとなっている。仲値前後の動きに注目したい。

与謝野財務相は、09年度政府経済見通しの修正は、補正予算提出時期までに行いたい、述べていた。また、銀行に集中検査を実施しており、銀行が金融仲介機能を果たしているのかを見極める目的、としている。

USD/JPY　100.52　EUR/JPY　134.14　GBP/JPY　147.49",,,,,,,,,,,,,,
東京仲値　100.60円　三菱東京UFJ銀行,2009年4月7日（火）09:56:00,,,,,,,,,,,,,,,
NY原油・金　時間外取引 小動き、原油先物51ドル前後で推移,2009年4月7日（火）10:15:00,"東京時間10:04現在
NY原油先物5月限（WTI）（時間外取引）
1バレル＝51.06（+0.01　+0.02%）
NY金先物6月限（COMEX）（時間外取引）
1オンス＝875.70（+2.90　+0.33%）

NY原油先物、時間外取引では51ドル前後での小動き。6日のNY市場では、前週末比2.78％安の51.05ドルで引けた。株式市場で調整色が強まったことに加え、ドル高推移したことが売り材料となった。あすの米週間石油在庫統計が注目材料となる。
NY金先物は875ドル台後半と小幅上昇。6日NY市場ではドル高の影響に加えて、G20でのIMF金売却論議が買いを手控えさせていた。北朝鮮のミサイル発射やイタリアの大地震などリスク要因にも安全資産としての反応は鈍かった。",,,,,,,,,,,,,,
中国人民銀行　人民元中心レート　1ドル＝6.8340元,2009年4月7日（火）10:18:00,,,,,,,,,,,,,,,
東京市場　仲値後も株価にらみの展開続く,2009年4月7日（火）10:34:00,"東京市場午前の取引、仲値通過後も早朝の円高の調整が続いている。ドル円は一時100.80近辺まで反発、ユーロ円も134円台半ば、ポンド円は148円近辺までじり高の動きをみせている。日経平均は金融株主導で軟調だが、8800円割れからは買い物も見られている。

USD/JPY　100.71　EUR/JPY　134.50　GBP/JPY　147.89",,,,,,,,,,,,,,
通貨オプション　ボラティリティー　低水準に落ち着く、ドル円1WKは15％割れ,2009年4月7日（火）10:44:00,"USD/JPY　　EUR/USD　　EUR/JPY　　GBP/USD
1WK　　　　14.92　　　　15.50　　　　19.85　　　　15.71
1MO　　　　16.20　　　　15.80　　　　20.75　　　　15.70
3MO　　　　15.12　　　　16.05　　　　20.26　　　　15.90
6MO　　　　14.19　　　　16.10　　　　19.95　　　　15.90
9MO　　　　13.69　　　　16.15　　　　19.83　　　　15.95
1YR　　　　13.41　　　　16.15　　　　19.76　　　　16.00

　　　　　　　　　
　　　GBP/JPY　　AUD/USD　　USD/CHF
1WK　　　　23.36　　　　22.76　　　　13.71
1MO　　　　24.51　　　　22.26　　　　14.00
3MO　　　　23.72　　　　21.00　　　　14.10
6MO　　　　23.31　　　　20.38　　　　14.05
9MO　　　　23.14　　　　19.90　　　　14.07
1YR　　　　23.06　　　　19.62　　　　14.05
東京時間10:30現在　参考値

東京タイムの通貨オプション市場、各通貨ともほぼ前日ロンドン市場の水準を踏襲している。ドル円1weekは14.9％と15%割れ水準で推移している。",,,,,,,,,,,,,,
アジア株　各国指数まちまち、金融株が重石に,2009年4月7日（火）10:59:00,"東京時間10:56現在

香港ハンセン指数　　 14922.09（-75.95　-0.51%）
中国上海総合指数　 2440.94（+21.17　+0.87%）
中国　シンセン総合指数　 804.59（+3.52　+0.44%）
台湾加権指数　　　　 5557.69（+1.47　+0.03%）
韓国総合株価指数　 1288.76（-9.09　-0.70%）
豪ASX200指数　　　 3721.30（-35.30　-0.94%）

7日のアジア株は、各国指数がまちまちの展開となっている。先ほど始まった香港市場ではハンセン指数が0.5％安と軟調になっている。豪ASX指数も銀行株が重石となって前日比約1％安。一方、中国本土の市場では上海総合指数が0.87％と堅調に推移。",,,,,,,,,,,,,,
日経平均　前引け　26.52円高　8884.45円,2009年4月7日（火）11:01:00,,,,,,,,,,,,,,,
通貨オプション　リスクリバーサル　円コールオーバー低下,2009年4月7日（火）11:15:00,"ドル円　1.75-2.05　円コールオーバー
ユーロ円　2.05-2.35　円コールオーバー
ポンド円　2.35-2.65　円コールオーバー

ドル円、クロス円で円コールオーバーが低下している。週明けの海外市場ではクロス円に調整が入ったが、円高ヘッジ需要はやや後退している。

※リスクリバーサルとは
同じ権利行使期日、取引金額、25％デルタのコールとプットを反対売買したときの差額をあらわしたもの。理論上はコールとプットの価格は一致するが、実際のマーケットでは通貨の需給に偏りがあるため、差額が生じる。",,,,,,,,,,,,,,
バルチック海運指数=04/06時点=,2009年4月7日（火）11:20:00,"バルチック海運指数
1486（前日比：-1.33%）
ハンディマックス・インデックス
660（前日比：-0.90%）
パナマックス・インデックス
1143（前日比：-3.63%）
ケープサイズ・インデックス
2734（前日比：14.87%）

＊バルチック海運指数はハンディマックス、パナマックス、ケープサイズなど船舶のサイズごとの海上運賃指数をまとめた総合指数。",,,,,,,,,,,,,,
東京市場　値動き一服、金利発表近づく,2009年4月7日（火）12:02:00,"ドル円が伸び悩んでいる。東京市場では日本及び豪州の中央銀行が政策金利を発表する。日本は据え置きが確実視、豪州は据え置きが有力視（一部で利下げ予想）されている。イベント前に様子見ムードが出ているようだ。市場の関心は豪中銀の金利発表に注がれており、日銀の金利発表は無風状態で通過しそうだ。

USD/JPY　100.60",,,,,,,,,,,,,,
通貨ペア別　売買動向,2009年4月7日（火）12:15:00,"【通貨ペア別　売買動向（単位：％）】

◆ドル円　　くりっく３６５　外為どっとコム
09/03/31　　　　43.4　　　　64.4
09/04/01　　　　45.1　　　　65.6
09/04/02　　　　42.5　　　　62.4
09/04/03　　　　43.5　　　　61.1
09/04/06　　　　48.1　　　　63.7

◆ユーロ円　くりっく３６５　外為どっとコム
09/03/31　　　　49.2　　　　59.1
09/04/01　　　　52.6　　　　62.7
09/04/02　　　　37.5　　　　43.8
09/04/03　　　　38.0　　　　44.0
09/04/06　　　　50.8　　　　53.6

◆ポンド円　くりっく３６５　外為どっとコム
09/03/31　　　　49.3　　　　59.6
09/04/01　　　　45.5　　　　57.6
09/04/02　　　　32.6　　　　43.8
09/04/03　　　　31.7　　　　42.4
09/04/06　　　　48.1　　　　51.1

◆豪ドル円　くりっく３６５　外為どっとコム
09/03/31　　　　75.1　　　　76.9
09/04/01　　　　73.4　　　　75.6
09/04/02　　　　64.9　　　　66.3
09/04/03　　　　70.7　　　　72.6
09/04/06　　　　75.0　　　　75.1

◆NZドル円　くりっく３６５　外為どっとコム
09/03/31　　　　80.2　　　　83.7
09/04/01　　　　80.4　　　　84.2
09/04/02　　　　76.8　　　　82.3
09/04/03　　　　78.4　　　　83.7
09/04/06　　　　79.9　　　　84.3

（注）売買動向＝買いポジション残高÷全ポジション残高
（資料）株式会社東京金融取引所、株式会社外為どっとコム",,,,,,,,,,,,,,
日本経済指標【日銀政策金利】,2009年4月7日（火）12:22:00,"＊日銀政策金利
結果　0.1%
予想　0.1%　現行　0.1%",,,,,,,,,,,,,,
東京市場　日銀金利据え置き、反応薄,2009年4月7日（火）12:28:00,"先ほど日銀が政策金利を据え置くと発表した。金利据え置きは全員一致の決定。このほか、適格担保の範囲拡大も打ち出している。また、長期国債の購入額は月1.8兆円で据え置きとした。市場の反応は乏しく、ほぼ無風状態で通過している。声明では景気は大幅に悪化しており、当面悪化を続ける可能性が高いと厳しい見方を示している。

USD/JPY　100.51　EUR/JPY　134.21　AUD/JPY　71.29",,,,,,,,,,,,,,
まもなく豪政策金利、市場は据え置き予想,2009年4月7日（火）12:30:00,まもなく13時30分に豪中銀が政策金利を発表する。市場予想は3.25%と、2ヶ月連続で金利据え置きが見込まれている。先週末まで利下げ予想と据え置き予想が拮抗していたが、世界的な景気回復期待や豪政府が第3次景気刺激策を発表するとの見方で市場のコンセンサスは利下げから据え置きにシフトしている。ただ、専門家の一部は依然として0.25%の利下げや0.50%の利下げを見込んでいる。金利見通しは固まっておらず、豪ドル相場の波乱要因となりそうだ。,,,,,,,,,,,,,,
（修正）日銀声明　適格担保の範囲を拡大,2009年4月7日（火）12:35:00,"文中の誤字を修正しました。

政府に対する証書貸付債権、政府保証付証書貸付債権の適格担保範囲の拡大を決定。
地方公共団体に対する証書貸付債権の適格担保化を決定。
わが国の景気は大幅に悪化している。
わが国の景気は、当面、悪化を続ける可能性が高い。
消費者物価、今後は需給バランス悪化も加わって、マイナスになっていくとみられる。
2009年後半以降、わが国経済も持ち直し、物価の下落幅も縮小していく姿が想定される。
物価安定のもとでの持続的成長経路へ復していく展望が拓けるとみられるものの、
見通しを巡る不確実性は高い。",,,,,,,,,,,,,,
東京市場　豪金利発表に焦点、日銀は蚊帳の外,2009年4月7日（火）13:14:00,"東京市場後半は値動きが一服している。先ほど発表された日銀金利発表は予想通り据え置き。資金供給拡充策の一環として適格担保の範囲拡大が打ち出されたが、織り込み済みのため、市場の反応は乏しかった。市場の関心は豪金利発表に注がれており、日銀の金利発表は蚊帳の外にあるようだ。本日早朝には豪政府が豪州全土に高速インターネット網を整備する方針を発表している。8年間で総額430億豪ドルを民間セクターに投じる見通し。市場の反応は限定的だったが、豪中銀理事会で金利据え置きの材料と解釈される可能性もある。午後は豪ドルの行方がマーケットを左右しそうだ。

AUD/JPY　71.32　AUD/USD　0.7097",,,,,,,,,,,,,,
豪経済指標【豪中銀政策金利】,2009年4月7日（火）13:30:00,"＊豪中銀政策金利 13:30
結果　3.00%
予想　3.25%　現行　3.25%",,,,,,,,,,,,,,
